string,uz_UZ,ru_RU,en_EN,uz_UZK
action_activate,Faollashtirish,Активировать,Activate,Фаоллаштириш
action_advertise,Reklama qilish,Рекламировать,Advertise,Реклама қилиш
action_deactivate,Faolsizlantirish,Деактивировать,Deactivate,Фаолсизлантириш
action_delete,O‘chirish,Удалить,Delete,Ўчириш
action_edit,Tahrirlash,Редактировать,Edit,Таҳрирлаш
action_make_main,Asosiy qilish,Сделать основным,Make Primary,Асосий қилиш
active_sessions_current_session,Joriy sessiya,Текущий сеанс,Current Session,Жорий сессия
active_sessions_mobile_app,Mobil ilova,Мобильное приложение,Mobile App,Мобил илова
active_sessions_terminate,Seansni tugatish,Завершить сеанс,End Session,Сеансни тугатиш
active_sessions_terminate_message,Haqiqatan ham bu seansni tugatmoqchimisiz?,"Вы уверены, что хотите завершить этот сеанс?",Do you really want to end this session?,Ҳақиқатан ҳам бу сеансни тугатмоқчимисиз?
active_sessions_terminate_title,Seansni tugatish,Завершить сеанс,End Session,Сеансни тугатиш
active_sessions_web_browser,Veb brauzer,Веб-браузер,Web Browser,Веб браузер
ad_buy,Sotib olish,Купить,Purchase,Сотиб олиш
ad_buy_by_one_click,Bir klikda sotib olish,Купить в один клик,One-Click Purchase,Бир кликда сотиб олиш
ad_creation_additional_info_label,Qo‘shimcha ma’lumot,Дополнительная информация,Additional Information,Қўшимча маълумот
ad_creation_address_label,Mening manzilim,Мои адрес,My Address,Менинг манзилим
ad_creation_addresses_info_label,Manzillar,Адреса,Addresses,Манзиллар
ad_creation_auto_renew_label,Avtomatik uzaytirish,Автопродление,Auto-renewal,Автоматик узайтириш
ad_creation_auto_renew_off_desc,E’lon 15 kundan keyin faolsizlantiriladi,Объявление будет деактивировано через 15 дней,Ad will be deactivated in 15 days,Эълон 15 кундан кейин фаолсизлантирилади
ad_creation_auto_renew_on_desc,E’lon har 15 kunda avtomatik uzaytiriladi,Автоматически продлевать объявление каждые 15 дней,Ad automatically renews every 15 days,Эълон ҳар 15 кунда автоматик узайтирилади
ad_creation_business_label,Biznes,Бизнес,Business,Бизнес
ad_creation_category_label,Kategoriya,Категория,Category,Категория
ad_creation_contact_info_label,Aloqa ma’lumotlari,Контактная информация,Contact Information,Алоқа маълумотлари
ad_creation_contact_person_label,Aloqa uchun shaxs,Контактное лицо,Contact Person,Алоқа учун шахс
ad_creation_contact_phone_label,Telefon raqami,Номер телефона,Phone Number,Телефон рақами
ad_creation_currency_label,Pul birligi,Валюта,Currency,Пул бирлиги
ad_creation_desc_hint,E’loningizni tushunarli qiladigan va topishni osonlashtiradigan tafsilotlarni o‘ylab ko‘ring. Va ularni tavsifga qo‘shing,"Подумайте, какие подробности вы хотели бы узнать из объявления. И добавьте их в описание",Think of details that make your ad clear and easy to find. And add them to the description,Эълонингизни тушунарли қиладиган ва топишни осонлаштирадиган тафсилотларни ўйлаб кўринг. Ва уларни тавсифга қўшинг
ad_creation_desc_label,Mahsulot tavsifi,Описание товара,Product Description,Маҳсулот тавсифи
ad_creation_exchange_label,Almashaman,Обменяю,I Exchange,Алмашаман
ad_creation_exchange_title,Almashish,Обмен,Exchange,Алмашиш
ad_creation_free_delivery_label,Bepul yetkazib berish,Бесплатная доставка,Free Delivery,Бепул етказиб бериш
ad_creation_free_title,Bepul,Бесплатно,Free,Бепул
ad_creation_from_price_label,dan,с,from,дан
